学部,学科,就職希望者数男,就職希望者数女,就職希望者数計,就職者数男,就職者数女,就職者数計,就職率男,就職率女,就職率計
神学部,学部合計,23,27,50,22,24,46,95.7,88.9,92.0
文学部,英文学科,86,177,263,84,175,259,97.7,98.9,98.5
文学部,哲学科,21,23,44,19,21,40,90.5,91.3,90.9
文学部,美学芸術学科,3,47,50,3,45,48,100.0,95.7,96.0
文学部,文化史学科,28,49,77,26,49,75,92.9,100.0,97.4
文学部,国文学科,30,72,102,26,71,97,86.7,98.6,95.1
文学部,学部合計,168,368,536,158,361,519,94.0,98.1,96.8
社会学部,社会学科,39,45,84,38,44,82,97.4,97.8,97.6
社会学部,社会福祉学科,25,52,77,25,51,76,100.0,98.1,98.7
社会学部,メディア学科,35,48,83,33,48,81,94.3,100.0,97.6
社会学部,産業関係学科,33,25,58,33,25,58,100.0,100.0,100.0
社会学部,教育文化学科,26,34,60,26,34,60,100.0,100.0,100.0
社会学部,学部合計,158,204,362,155,202,357,98,99.0,98.6
法学部,法律学科,283,199,482,278,195,473,98.2,98.0,98.1
法学部,政治学科,95,87,182,92,87,179,96.8,100.0,98.4
法学部,学部合計,378,286,664,370,282,652,97.9,98.6,98.2
経済学部,学部合計,528,265,793,518,263,781,98.1,99.2,98.5
商学部,学部合計,432,313,745,428,311,739,99.1,99.4,99.2
政策学部,学部合計,185,171,356,183,169,352,98.9,98.8,98.9
文化情報学部,学部合計,122,122,244,118,120,238,96.7,98.4,97.5
スポーツ健康科学部,学部合計,130,47,177,129,46,175,99.2,97.9,98.9
心理学部,学部合計,42,71,113,42,71,113,100.0,100.0,100.0
グローバル・コミュニケーション学部,学部合計,42,90,132,41,90,131,97.6,100.0,99.2
グローバル地域文化学部,学部合計,46,112,158,46,111,157,100.0,99.1,99.4
文科系学部合計,文科系学部合計,"2,254","2,076","4,330","2,210","2,050","4,260",98.0,98.7,98.4
理工学部,インテリジェント情報工学科,34,7,41,34,7,41,100.0,100.0,100.0
理工学部,情報システムデザイン学科,37,10,47,37,10,47,100.0,100.0,100.0
理工学部,電気工学科,39,1,40,39,1,40,100.0,100.0,100.0
理工学部,電子工学科,29,2,31,29,2,31,100.0,100.0,100.0
理工学部,機械システム工学科,30,1,31,30,1,31,100.0,100.0,100.0
理工学部,エネルギー機械工学科,14,1,15,14,1,15,100.0,100.0,100.0
理工学部,機能分子・生命化学科,14,18,32,14,18,32,100.0,100.0,100.0
理工学部,化学システム創成工学科,20,10,30,20,10,30,100.0,100.0,100.0
理工学部,環境システム学科,19,9,28,19,9,28,100.0,100.0,100.0
理工学部,数理システム学科,23,3,26,23,3,26,100.0,100.0,100.0
理工学部,学部合計,,,,,,,,,
生命医科学部,医工学科,17,18,35,17,18,35,100.0,100.0,100.0
生命医科学部,医情報学科,16,19,35,16,19,35,100.0,100.0,100.0
生命医科学部,医生命システム学科,10,13,23,10,13,23,100.0,100.0,100.0
生命医科学部,学部合計,43,50,93,43,50,93,100.0,100.0,100.0
理工系学部合計,理工系学部合計,302,112,414,302,112,414,100.0,100.0,100.0
全学部合計,全学部合計,"2,556","2,188","4,744","2,512","2,162","4,674",98.3,98.8,98.5
神学研究科,研究科合計,6,0,6,5,0,5,83.3,-,83.3
文学研究科,研究科合計,3,7,10,3,6,9,100.0,85.7,90.0
社会学研究科,研究科合計,1,5,6,1,3,4,100.0,60.0,66.7
法学研究科,研究科合計,24,6,30,22,6,28,91.7,100.0,93.3
経済学研究科,研究科合計,2,5,7,2,5,7,100.0,100.0,100.0
商学研究科,研究科合計,1,3,4,1,3,4,100.0,100.0,100.0
総合政策科学研究科,研究科合計,3,6,9,3,6,9,100.0,100.0,100.0
文化情報学研究科,研究科合計,1,3,4,1,3,4,100.0,100.0,100.0
スポーツ健康科学研究科,研究科合計,3,2,5,3,2,5,100.0,100.0,100.0
心理学研究科,研究科合計,1,2,3,1,2,3,100.0,100.0,100.0
グローバル・スタディーズ研究科,研究科合計,2,9,11,2,5,7,100.0,55.6,63.6
司法研究科,研究科合計,2,0,2,2,0,2,100.0,-,100.0
ビジネス研究科,研究科合計,10,4,14,5,1,6,50.0,25.0,42.9
文科系大学院合計,文科系大学院合計,59,52,111,51,42,93,86.4,80.8,83.8
理工学研究科,情報工学専攻,66,4,70,66,4,70,100.0,100.0,100.0
理工学研究科,研究科合計,73,3,76,73,3,76,100.0,100.0,100.0
理工学研究科,機械工学専攻,81,1,82,81,1,82,100.0,100.0,100.0
理工学研究科,応用化学専攻,45,11,56,45,11,56,100.0,100.0,100.0
理工学研究科,数理環境科学専攻,12,4,16,12,4,16,100.0,100.0,100.0
理工学研究科,研究科合計,277,23,300,277,23,300,100.0,100.0,100.0
生命医科学研究科,医工学・医情報学専攻,68,28,96,68,28,96,100.0,100.0,100.0
生命医科学研究科,医生命システム専攻,8,6,14,8,6,14,100.0,100.0,100.0
生命医科学研究科,研究科合計,76,34,110,76,34,110,100.0,100.0,100.0
理工系大学院合計,理工系大学院合計,353,57,410,353,57,410,100.0,100.0,100.0
大学院計,大学院計,412,109,521,404,99,503,98.1,90.8,96.5
総合計,総合計,"2,968","2,297","5,265","2,916","2,261","5,177",98.2,98.4,98.3
,,,,,,,,,,